8.8.8.8,9ms,Wed Dec  4 14:24:14 2019
8.8.8.8,8ms,Wed Dec  4 14:24:29 2019
8.8.8.8,18ms,Wed Dec  4 14:24:44 2019
8.8.8.8,9ms,Wed Dec  4 14:24:59 2019
8.8.8.8,8ms,Wed Dec  4 14:25:14 2019
8.8.8.8,11ms,Wed Dec  4 14:25:30 2019
8.8.8.8,8ms,Wed Dec  4 14:25:45 2019
8.8.8.8,8ms,Wed Dec  4 14:26:00 2019
8.8.8.8,137ms,Wed Dec  4 14:26:15 2019
8.8.8.8,8ms,Wed Dec  4 14:26:30 2019
8.8.8.8,9ms,Wed Dec  4 14:26:45 2019
8.8.8.8,17ms,Wed Dec  4 14:27:00 2019
8.8.8.8,11ms,Wed Dec  4 14:27:15 2019
8.8.8.8,8ms,Wed Dec  4 14:27:30 2019
8.8.8.8,8ms,Wed Dec  4 14:27:45 2019
8.8.8.8,9ms,Wed Dec  4 14:28:00 2019
8.8.8.8,9ms,Wed Dec  4 14:28:15 2019
8.8.8.8,8ms,Wed Dec  4 14:28:30 2019
8.8.8.8,8ms,Wed Dec  4 14:28:45 2019
8.8.8.8,12ms,Wed Dec  4 14:29:00 2019
8.8.8.8,9ms,Wed Dec  4 14:29:15 2019
8.8.8.8,8ms,Wed Dec  4 14:29:30 2019
8.8.8.8,9ms,Wed Dec  4 14:29:45 2019
8.8.8.8,9ms,Wed Dec  4 14:30:00 2019
8.8.8.8,9ms,Wed Dec  4 14:30:15 2019
8.8.8.8,8ms,Wed Dec  4 14:30:30 2019
8.8.8.8,9ms,Wed Dec  4 14:30:45 2019
8.8.8.8,9ms,Wed Dec  4 14:31:00 2019
8.8.8.8,10ms,Wed Dec  4 14:31:15 2019
8.8.8.8,9ms,Wed Dec  4 14:31:30 2019
8.8.8.8,267ms,Wed Dec  4 14:31:46 2019
8.8.8.8,18ms,Wed Dec  4 14:32:01 2019
8.8.8.8,8ms,Wed Dec  4 14:32:16 2019
8.8.8.8,8ms,Wed Dec  4 14:32:31 2019
8.8.8.8,9ms,Wed Dec  4 14:32:46 2019
8.8.8.8,8ms,Wed Dec  4 14:33:01 2019
8.8.8.8,9ms,Wed Dec  4 14:33:16 2019
